eventID,eventDate,maximumDepthInMeters,minimumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,countryCode
AMBON_Zooplankton_2017_BBL10_2017-08-22T07:47:00Z,2017-08-22T07:47:00Z,48,48,70.1876,-167.3648,WGS84,US
AMBON_Zooplankton_2017_BBL11_2017-08-22T11:08:00Z,2017-08-22T11:08:00Z,46,46,70.2848,-167.8161,WGS84,US
AMBON_Zooplankton_2017_BBL12_2017-08-22T13:56:00Z,2017-08-22T13:56:00Z,43,43,70.3697,-168.285,WGS84,US
AMBON_Zooplankton_2017_CL0_2017-08-08T17:01:00Z,2017-08-08T17:01:00Z,29,29,68.8976,-166.4278,WGS84,US
AMBON_Zooplankton_2017_CL1_2017-08-08T13:27:00Z,2017-08-08T13:27:00Z,44,44,68.9471,-166.916,WGS84,US
AMBON_Zooplankton_2017_CL2_2017-08-08T08:18:00Z,2017-08-08T08:18:00Z,47,47,69.0289,-167.9353,WGS84,US
AMBON_Zooplankton_2017_CL3_2017-08-08T02:48:00Z,2017-08-08T02:48:00Z,50,50,69.0367,-168.8934,WGS84,US
AMBON_Zooplankton_2017_DBO3.2_2017-08-07T15:23:00Z,2017-08-07T15:23:00Z,41,41,68.238,-167.1225,WGS84,US
AMBON_Zooplankton_2017_DBO3.4_2017-08-07T09:17:00Z,2017-08-07T09:17:00Z,48,48,68.124,-167.4979,WGS84,US
AMBON_Zooplankton_2017_DBO3.5_2017-08-07T05:34:00Z,2017-08-07T05:34:00Z,51,51,68.009,-167.8681,WGS84,US
AMBON_Zooplankton_2017_DBO3.6_2017-08-07T02:23:00Z,2017-08-07T02:23:00Z,56,56,67.8921,-168.226,WGS84,US
AMBON_Zooplankton_2017_DBO3.7_2017-08-06T23:04:00Z,2017-08-06T23:04:00Z,48,48,67.7779,-168.6052,WGS84,US
AMBON_Zooplankton_2017_DBO3.8_2017-08-06T19:33:00Z,2017-08-06T19:33:00Z,45,45,67.6645,-168.9554,WGS84,US
