ufn,semsp_id,seine_id,species,fork_length_field,weight_field,weight,fork_length
U92,2015-05-22-J08-SO-29,JE105N2,SO,NA,NA,11.5,102
U82,2015-05-23-J03-SO-22,JE107N2,SO,NA,NA,12.7,102
U83,2015-05-22-J08-SO-12,JE105N2,SO,NA,NA,12.7,106
U84,2015-05-23-J03-SO-24,JE107N2,SO,NA,NA,10.7,100
U85,2015-05-22-J08-SO-16,JE105N2,SO,NA,NA,16.9,119
U93,2015-05-22-J08-SO-24,JE105N2,SO,NA,NA,11.6,100
U94,2015-05-22-J08-SO-21,JE105N2,SO,NA,NA,10.6,100
U95,2015-05-22-J08-SO-17,JE105N2,SO,NA,NA,11.6,100
U96,2015-05-22-J08-SO-18,JE105N2,SO,NA,NA,12.5,99
U97,2015-05-23-J03-SO-30,JE107N2,SO,NA,NA,12.2,102
U98,2015-05-23-J03-SO-26,JE107N2,SO,NA,NA,7.7,93
U111,2015-05-22-J08-SO-20,JE105N2,SO,NA,NA,10.9,106
U112,2015-05-23-J03-SO-12,JE107N2,SO,NA,NA,10.4,102
U86,2015-05-23-J03-SO-18,JE107N2,SO,NA,NA,10.1,104
U87,2015-05-22-J08-SO-25,JE105N2,SO,NA,NA,15.1,115
U88,2015-05-23-J03-SO-3,JE107N2,SO,NA,NA,13.6,112
U89,2015-05-22-J08-SO-14,JE105N2,SO,NA,NA,14.1,109
U90,2015-05-23-J03-SO-4,JE107N2,SO,NA,NA,11.9,109
U104,2015-05-23-J03-SO-10,JE107N2,SO,NA,NA,10.2,108
U105,2015-05-23-J03-SO-6,JE107N2,SO,NA,NA,13.4,113
U106,2015-05-22-J08-SO-22,JE105N2,SO,NA,NA,11.2,103
U107,2015-05-23-J03-SO-11,JE107N2,SO,NA,NA,13.5,119
U108,2015-05-23-J03-SO-9,JE107N2,SO,NA,NA,12.9,106
U113,2015-05-23-J03-SO-1,JE107N2,SO,NA,NA,12.4,109
U114,2015-05-23-J03-SO-2,JE107N2,SO,NA,NA,12.9,108
U115,2015-05-22-J08-SO-15,JE105N2,SO,NA,NA,12.3,107
U116,2015-05-23-J03-SO-14,JE107N2,SO,NA,NA,13.8,115
U121,2015-05-22-J08-SO-23,JE105N2,SO,NA,NA,11.1,109
U122,2015-05-22-J08-SO-19,JE105N2,SO,NA,NA,9.1,97
U123,2015-05-23-J03-SO-7,JE107N2,SO,NA,NA,14,115
U109,2015-05-23-J03-SO-15,JE107N2,SO,NA,NA,10.8,104
U117,2015-05-23-J03-SO-13,JE107N2,SO,NA,NA,10.4,103
U118,2015-05-23-J03-SO-8,JE107N2,SO,NA,NA,12.9,102
U124,2015-05-23-J03-SO-5,JE107N2,SO,NA,NA,10.6,103
U110,2015-05-22-J08-CU-3,JE105N2,CU,NA,NA,10.8,103
U119,2015-05-23-J09-SO-14,JE108N2,SO,NA,NA,15,113
U100,2015-05-23-J09-SO-13,JE108N2,SO,NA,NA,15.9,115
U99,2015-05-15-D05-SO-14,DE103N1,SO,NA,NA,7.3,88
U120,2015-05-23-J09-SO-5,JE108N2,SO,NA,NA,16.9,122
U151,2015-05-23-J09-SO-6,JE108N2,SO,NA,NA,14.8,116
U152,2015-05-23-J09-SO-11,JE108N2,SO,NA,NA,21,127
U153,2015-05-23-J09-SO-2,JE108N2,SO,NA,NA,14.9,115
U141,2015-05-23-J09-SO-15,JE108N2,SO,NA,NA,13.7,114
U142,2015-05-23-J09-SO-12,JE108N2,SO,NA,NA,14.6,116
U143,2015-05-23-J09-SO-8,JE108N2,SO,NA,NA,15.1,113
U144,2015-05-23-J09-SO-1,JE108N2,SO,NA,NA,14.8,115
U131,2015-05-22-J08-CU-1,JE105N2,CU,NA,NA,20.3,NA
U132,2015-05-22-J08-CO-7,JE105N2,CO,NA,NA,12.3,97
U154,2015-05-23-J09-SO-7,JE108N2,SO,NA,NA,12.8,105
U155,2015-05-23-J09-SO-4,JE108N2,SO,NA,NA,14.4,110
U156,2015-05-22-J07-SO-16,JE104N1,SO,NA,NA,11.2,110
U157,2015-05-22-J08-CO-8,JE105N2,CO,NA,NA,17.9,115
U158,2015-05-22-J07-SO-23,JE104N1,SO,NA,NA,12.2,116
U145,2015-05-23-J09-SO-3,JE108N2,SO,NA,NA,14.5,109
U146,2015-05-23-J09-SO-9,JE108N2,SO,NA,NA,13.2,105
U147,2015-05-22-J08-CO-9,JE105N2,CO,NA,NA,18.7,123
U148,2015-05-22-J08-CO-5,JE105N2,CO,NA,NA,16.9,110
U149,2015-05-22-J08-CO-10,JE105N2,CO,NA,NA,13.2,110
U150,2015-05-22-J08-CO-6,JE105N2,CO,NA,NA,12.2,99
U125,2015-05-23-J09-SO-10,JE108N2,SO,NA,NA,12,104
U133,2015-05-22-J07-SO-28,JE104N1,SO,NA,NA,11.5,105
U134,2015-05-22-J07-SO-17,JE104N1,SO,NA,NA,12.2,104
U135,2015-05-22-J07-SO-19,JE104N1,SO,NA,NA,11.3,115
U136,2015-05-22-J07-SO-26,JE104N1,SO,NA,NA,9.8,98
U137,2015-05-22-J07-SO-24,JE104N1,SO,NA,NA,9.3,93
U138,2015-05-22-J07-SO-18,JE104N1,SO,NA,NA,11.2,100
U159,2015-05-22-J07-SO-30,JE104N1,SO,NA,NA,11.2,104
U160,2015-05-22-J07-SO-20,JE104N1,SO,NA,NA,12.8,107
U171,2015-05-22-J07-SO-25,JE104N1,SO,NA,NA,11.4,102
U161,2015-05-22-J07-SO-21,JE104N1,SO,NA,NA,12.6,105
U162,2015-05-22-J07-SO-22,JE104N1,SO,NA,NA,13.5,111
U139,2015-05-22-J07-SO-27,JE104N1,SO,NA,NA,13.2,117
U140,2015-05-23-J09-SO-30,JE108N2,SO,NA,NA,13.9,110
U181,2015-05-23-J09-SO-25,JE108N2,SO,NA,NA,13.1,109
U182,2015-05-23-J10-SO-10,JE109N3,SO,NA,NA,NA,112
U183,2015-05-23-J10-SO-4,JE109N3,SO,NA,NA,13.5,115
U172,2015-05-22-J07-SO-29,JE104N1,SO,NA,NA,12.3,110
U174,2015-05-23-J10-SO-1,JE109N3,SO,NA,NA,12.2,103
U163,2015-05-23-J09-SO-21,JE108N2,SO,NA,NA,15.6,110
U164,2015-05-23-J09-SO-16,JE108N2,SO,NA,NA,18.6,130
U165,2015-05-23-J10-SO-14,JE109N3,SO,NA,NA,13,109
U166,2015-05-23-J10-SO-5,JE109N3,SO,NA,NA,14.1,115
U184,2015-05-23-J10-SO-2,JE109N3,SO,NA,NA,13.8,106
U185,2015-05-23-J10-SO-12,JE109N3,SO,NA,NA,10.8,93
U186,2015-05-23-J10-SO-15,JE109N3,SO,NA,NA,13,103
U187,2015-05-22-J07-SO-14,JE104N1,SO,NA,NA,12.6,108
U188,2015-05-22-J07-SO-4,JE104N1,SO,NA,NA,10.6,102
U189,2015-05-22-J07-SO-2,JE104N1,SO,NA,NA,13.4,108
U175,2015-05-23-J10-SO-11,JE109N3,SO,NA,NA,11.7,107
U176,2015-05-23-J10-SO-9,JE109N3,SO,NA,NA,9.3,96
U177,2015-05-23-J10-SO-7,JE109N3,SO,NA,NA,14,111
U178,2015-05-22-J07-SO-15,JE104N1,SO,NA,NA,12.8,106
U179,2015-05-22-J07-SO-7,JE104N1,SO,NA,NA,11.2,102
U167,2015-05-23-J10-SO-8,JE109N3,SO,NA,NA,13.5,103
U168,2015-05-23-J10-SO-13,JE109N3,SO,NA,NA,10.5,110
U169,2015-05-22-J07-SO-11,JE104N1,SO,NA,NA,11.9,104
U170,2015-05-22-J07-SO-6,JE104N1,SO,NA,NA,10.6,103
U191,2015-05-22-J07-SO-3,JE104N1,SO,NA,NA,17.7,120
U126,2015-05-23-J10-SO-3,JE109N3,SO,NA,NA,11.6,104
U180,2015-05-22-J07-SO-9,JE104N1,SO,NA,NA,11.8,108
U201,2015-05-22-J07-SO-8,JE104N1,SO,NA,NA,13.4,105
U202,2015-05-22-J07-SO-5,JE104N1,SO,NA,NA,14.9,113
U203,2015-05-22-J07-SO-1,JE104N1,SO,NA,NA,11.7,103
U204,2015-05-22-J04-CO-6,JE106N4,CO,NA,NA,17.8,119
U192,2015-05-22-J07-SO-13,JE104N1,SO,NA,NA,13.8,112
U193,2015-05-22-J07-SO-10,JE104N1,SO,NA,NA,12.8,108
U194,2015-05-22-J07-SO-12,JE104N1,SO,NA,NA,15,128
U195,2015-05-22-J04-CO-7,JE106N4,CO,NA,NA,29.8,139
U190,2015-05-22-J04-CU-2,JE106N4,CU,NA,NA,18.5,120
U211,2015-05-22-J04-CO-4,JE106N4,CO,NA,NA,31.4,142
U212,2015-05-22-J04-CO-2,JE106N4,CO,NA,NA,30.3,138
U205,2015-05-22-J04-CO-10,JE106N4,CO,NA,NA,38.8,153
U206,2015-05-22-J04-CO-5,JE106N4,CO,NA,NA,29.7,136
U196,2015-05-22-J04-CU-1,JE106N4,CU,NA,NA,13.6,109
U197,2015-05-22-J04-SO-29,JE106N4,SO,NA,NA,17.1,113
U198,2015-05-22-J04-CO-3,JE106N4,CO,NA,NA,37.8,150
U199,2015-05-22-J04-CO-8,JE106N4,CO,NA,NA,48.6,155
U213,2015-05-15-D05-SO-25,DE103N1,SO,NA,NA,11.4,92
U214,2015-05-15-D05-SO-21,DE103N1,SO,NA,NA,7.6,87
U215,2015-05-15-D05-SO-28,DE103N1,SO,NA,NA,10.7,100
U216,2015-05-21-D07-SO-29,DE115N2,SO,NA,NA,9.6,96
U217,2015-05-21-D07-SO-26,DE115N2,SO,NA,NA,10.6,100
U207,2015-05-15-D05-SO-27,DE103N1,SO,NA,NA,8.6,93
U208,2015-05-15-D05-SO-24,DE103N1,SO,NA,NA,8.2,92
U209,2015-05-15-D05-SO-26,DE103N1,SO,NA,NA,10.2,92
U210,2015-05-21-D07-SO-24,DE115N2,SO,NA,NA,10,98
U241,2015-05-21-D07-SO-27,DE115N2,SO,NA,NA,9.3,99
U200,2015-05-15-D05-SO-30,DE103N1,SO,NA,NA,8,82
U231,2015-05-15-D05-SO-22,DE103N1,SO,NA,NA,10.7,96
U232,2015-05-15-D05-SO-23,DE103N1,SO,NA,NA,8.9,92
