occurrenceID,occurrenceStatus,basisOfRecord,organismID,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificNameID,eventID,samplingProtocol,kingdom,taxonRank,lifeStage,sex,associatedReferences,coordinateUncertaintyInMeters,dataGeneralizations
ioos_atn_2014-04-26T00:51:11Z_0.0_ribbon_seal,present,MachineObservation,255017_ribbon_seal,2014-04-26T00:51:11Z,60.6317,-178.0899,EPSG:4326,Histriophoca fasciata,urn:lsid:marinespecies.org:taxname:255017,ribbon_seal_2014-04-26T00:51:11Z,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,10000,first of 2 records.
ioos_atn_2014-04-26T19:21:24Z_0.0_ribbon_seal,present,MachineObservation,255017_ribbon_seal,2014-04-26T19:21:24Z,61.0606,-177.8437,EPSG:4326,Histriophoca fasciata,urn:lsid:marinespecies.org:taxname:255017,ribbon_seal_2014-04-26T19:21:24Z,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,10000,first of 5 records.
ioos_atn_2014-04-27T14:31:07Z_0.0_ribbon_seal,present,MachineObservation,255017_ribbon_seal,2014-04-27T14:31:07Z,61.1814,-177.471,EPSG:4326,Histriophoca fasciata,urn:lsid:marinespecies.org:taxname:255017,ribbon_seal_2014-04-27T14:31:07Z,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_2014-04-27T15:30:50Z_0.0_ribbon_seal,present,MachineObservation,255017_ribbon_seal,2014-04-27T15:30:50Z,61.1712,-177.4029,EPSG:4326,Histriophoca fasciata,urn:lsid:marinespecies.org:taxname:255017,ribbon_seal_2014-04-27T15:30:50Z,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,500,first of 2 records.
