seine_id,survey_id,lat,long,set_time,so_total,so_taken,pi_total,pi_taken,cu_total,cu_taken,co_total,co_taken,he_total,he_taken,ck_total,ck_taken
DE198N2,DE198,50.34829,-125.45001,2015-06-18 08:05:00 PDT,200,30,0,0,200,10,1,1,20,6,NA,NA
DE199N1,DE199,50.30819,-125.32694,2015-06-18 11:16:00 PDT,50,30,0,0,50,10,0,0,10,10,NA,NA
DE201N1,DE201,50.09809,-125.27142,2015-06-19 10:14:00 PDT,6,5,0,0,300,10,0,0,1,1,NA,NA
DE205N2,DE205,50.34758,-125.4553,2015-06-20 09:33:00 PDT,3,3,2,2,44,10,0,0,0,0,NA,NA
DE206N1,DE206,50.30597,-125.33588,2015-06-20 12:29:00 PDT,200,30,0,0,80,10,2,2,10,10,NA,NA
DE212N2,DE212,50.44949,-125.32427,2015-06-22 07:13:00 PDT,60,30,0,0,200,10,0,0,0,0,NA,NA
DE214N1,DE214,50,-125,2015-06-22 12:27:00 PDT,100,29,7,7,300,10,0,0,4,4,NA,NA
DE217N2,DE217,50.10264,-125.27585,2015-06-23 08:32:00 PDT,6,6,10,4,2000,10,0,0,5,1,NA,NA
DE218N1,DE218,50.44045,-125.27069,2015-06-24 07:05:00 PDT,7,7,0,0,40,10,1,1,1,1,NA,NA
DE219N1,DE219,50.34969,-125.44451,2015-06-24 08:58:00 PDT,9,9,300,10,500,10,0,0,0,0,NA,NA
DE220N1,DE220,50.30698,-125.3259,2015-06-24 11:07:00 PDT,240,30,0,0,5,5,1,1,0,0,NA,NA
DE221N1,DE221,50.30702,-125.33509,2015-06-27 09:22:00 PDT,20,19,20,10,30,10,0,0,0,0,NA,NA
DE225N1,DE225,50.34844,-125.44666,2015-06-29 08:17:00 PDT,50,30,0,0,200,10,0,0,0,0,NA,NA
DE226N2,DE226,50.30764,-125.33348,2015-06-29 10:52:00 PDT,8,8,2,2,80,10,0,0,0,0,NA,NA
DE231N2,DE231,50.30377,-125.33768,2015-07-02 09:47:00 PDT,60,30,8,7,200,10,0,0,20,10,NA,NA
DE234N1,DE234,50.34874,-125.44617,2015-07-05 13:30:00 PDT,1,1,20,10,100,10,0,0,0,0,NA,NA
DE236N1,DE236,50.30641,-125.31584,2015-07-06 06:56:00 PDT,4,4,0,0,50,10,0,0,7,7,NA,NA
DE237N1,DE237,50.34825,-125.44895,2015-07-06 08:43:00 PDT,23,23,100,10,400,10,0,0,0,0,NA,NA
DE238N1,DE238,50.34797,-125.45584,2015-07-07 11:46:00 PDT,18,17,50,10,500,10,0,0,0,0,NA,NA
DE239N2,DE239,50.3079,-125.32955,2015-07-07 14:13:00 PDT,5,5,100,10,100,10,0,0,3,3,NA,NA
DE240N1,DE240,50.30717,-125.33303,2015-07-14 06:50:00 PDT,200,30,1,1,10,8,0,0,0,0,NA,NA
DE241N1,DE241,50.34811,-125.454,2015-07-14 09:33:00 PDT,5,5,200,10,300,10,0,0,1,1,NA,NA
DE255N2,DE255,50.023957,-124.914675,2016-05-13 08:03:00 PDT,400,31,20,10,20,10,0,0,9,9,NA,NA
DE258N1,DE258,49.9865,-125.162953,2016-05-13 14:00:00 PDT,60,30,3,3,1,1,2,2,0,0,NA,NA
DE259N1,DE259,50.237386,-125.12002,2016-05-14 06:25:00 PDT,200,30,1,1,1,1,0,0,11,10,NA,NA
DE260N1,DE260,50.32113,-125.040588,2016-05-14 10:35:00 PDT,2,2,3,3,0,0,1,1,9,9,NA,NA
DE261N1,DE261,50.19304,-125.136573,2016-05-14 13:01:00 PDT,100,30,2,2,3,3,1,1,16,10,NA,NA
DE263N1,DE263,50.243454,-125.398108,2016-05-15 09:50:00 PDT,700,30,20,10,30,10,2,2,30,10,NA,NA
DE267N1,DE267,50.393263,-125.373514,2016-05-16 09:50:00 PDT,500,30,0,0,6,3,1,0,9,6,NA,NA
DE269N2,DE269,50.020465,-124.917743,2016-05-18 06:58:00 PDT,200,30,3,3,10,5,0,0,0,0,NA,NA
DE274N1,DE274,50.319977,-125.042165,2016-05-19 06:56:00 PDT,100,30,3,3,8,8,1,1,0,0,NA,NA
DE275N1,DE275,50.241361,-125.119113,2016-05-19 10:52:00 PDT,600,30,20,10,20,10,1,1,0,0,NA,NA
DE276N1,DE276,50.191099,-125.138578,2016-05-19 14:10:00 PDT,100,30,70,10,70,10,0,0,0,0,NA,NA
DE277N1,DE277,50.30908,-125.325703,2016-05-23 06:30:00 PDT,600,30,40,10,40,10,1,1,0,0,NA,NA
DE278N1,DE278,50.274701,-125.377445,2016-05-23 09:30:00 PDT,600,30,100,10,100,10,0,0,4,4,NA,NA
DE279N2,DE279,50.224106,-125.395004,2016-05-23 13:25:00 PDT,600,30,60,10,60,10,7,7,3,3,NA,NA
DE282N1,DE282,50.392115,-125.374782,2016-05-24 08:44:00 PDT,500,30,4,4,7,4,3,2,0,0,NA,NA
DE287N1,DE287,50.190737,-125.143169,2016-05-26 11:06:00 PDT,600,30,80,10,80,10,0,0,0,0,NA,NA
DE288N1,DE288,50.243773,-125.397476,2016-05-27 07:00:00 PDT,400,30,40,10,20,8,0,0,1,0,NA,NA
DE290N2,DE290,50.304166,-125.333511,2016-05-27 12:32:00 PDT,200,30,9,9,13,10,0,0,4,4,NA,NA
DE292N1,DE292,50.308769,-125.326765,2016-06-01 07:47:00 PDT,200,30,3,3,60,10,0,0,0,0,NA,NA
DE293N1,DE293,50.274055,-125.328828,2016-06-01 10:50:00 PDT,1000,30,100,10,100,10,2,1,13,10,NA,NA
DE294N1,DE294,50.24565,-125.396035,2016-06-01 14:35:00 PDT,50,30,100,10,10,10,0,0,0,0,NA,NA
DE295N1,DE295,50.347739,-125.45463,2016-06-02 07:17:00 PDT,400,30,4,4,100,10,0,0,3,3,NA,NA
