eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
DE240N1,"NA",sockeyeCount,200,"NA","NA"
DE241N1,"NA",sockeyeCount,5,"NA","NA"
DE245N2,"NA",sockeyeCount,0,"NA","NA"
DE245N1,"NA",sockeyeCount,0,"NA","NA"
DE255N2,"NA",sockeyeCount,400,"NA","NA"
DE255N1,"NA",sockeyeCount,0,"NA","NA"
DE258N1,"NA",sockeyeCount,60,"NA","NA"
DE259N1,"NA",sockeyeCount,200,"NA","NA"
DE260N1,"NA",sockeyeCount,2,"NA","NA"
DE261N1,"NA",sockeyeCount,100,"NA","NA"
DE262N1,"NA",sockeyeCount,0,"NA","NA"
DE263N1,"NA",sockeyeCount,700,"NA","NA"
DE264N2,"NA",sockeyeCount,2,"NA","NA"
DE264N1,"NA",sockeyeCount,1000,"NA","NA"
DE267N1,"NA",sockeyeCount,500,"NA","NA"
DE269N2,"NA",sockeyeCount,200,"NA","NA"
DE269N1,"NA",sockeyeCount,2,"NA","NA"
DE272N1,"NA",sockeyeCount,0,"NA","NA"
DE272N2,"NA",sockeyeCount,0,"NA","NA"
DE274N1,"NA",sockeyeCount,100,"NA","NA"
DE275N1,"NA",sockeyeCount,600,"NA","NA"
DE276N1,"NA",sockeyeCount,100,"NA","NA"
DE277N1,"NA",sockeyeCount,600,"NA","NA"
DE278N1,"NA",sockeyeCount,600,"NA","NA"
DE279N2,"NA",sockeyeCount,600,"NA","NA"
DE279N1,"NA",sockeyeCount,0,"NA","NA"
DE282N1,"NA",sockeyeCount,500,"NA","NA"
DE284N2,"NA",sockeyeCount,2,"NA","NA"
DE284N1,"NA",sockeyeCount,3,"NA","NA"
DE287N1,"NA",sockeyeCount,600,"NA","NA"
DE288N1,"NA",sockeyeCount,400,"NA","NA"
DE290N2,"NA",sockeyeCount,200,"NA","NA"
DE290N1,"NA",sockeyeCount,0,"NA","NA"
DE292N1,"NA",sockeyeCount,200,"NA","NA"
DE293N1,"NA",sockeyeCount,1000,"NA","NA"
DE294N1,"NA",sockeyeCount,50,"NA","NA"
DE295N1,"NA",sockeyeCount,400,"NA","NA"
DE296N1,"NA",sockeyeCount,200,"NA","NA"
DE297N1,"NA",sockeyeCount,300,"NA","NA"
DE299N1,"NA",sockeyeCount,200,"NA","NA"
DE300N1,"NA",sockeyeCount,600,"NA","NA"
DE301N1,"NA",sockeyeCount,80,"NA","NA"
