eventID,occurrenceID,occurrenceStatus,basisOfRecord,organismID,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificNameID,samplingProtocol,kingdom,taxonRank,lifeStage,sex,associatedReferences,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,dataGeneralizations,bibliographicCitation,occurrenceRemarks
atn_137494_ribbon-seal_trajectory_20140426-20140426,ioos_atn_137494_2014-04-26T00:51:11Z_0.0_ribbon_seal,present,MachineObservation,255017_ribbon_seal,2014-04-26T00:51:11Z,60.6317,-178.0899,EPSG:4326,Histriophoca fasciata,urn:lsid:marinespecies.org:taxname:255017,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,10000,0.0,0.0,first of 2 records for this hour.,"London, Josh; Koslovsky, Stacie; Cameron, Michael; Boveng, Peter; Ziel, Heather. (2025). Ribbon seal (Histriophoca fasciata) location data from a satellite telemetry tag (ptt id 137494) deployed in the Bering Sea from 2014-04-26 to 2014-04-26, deployment id 535b7f8de36c4f5e17acc135. [Dataset]. US Integrated Ocean Observing System (IOOS) Animal Telemetry Network (ATN).",This is a representative occurrence from a full deployment. For the complete dataset please see https://doi.org/10.25921/wp4e-ph20.
atn_137494_ribbon-seal_trajectory_20140426-20140426,ioos_atn_137494_2014-04-26T19:21:24Z_0.0_ribbon_seal,present,MachineObservation,255017_ribbon_seal,2014-04-26T19:21:24Z,61.0606,-177.8437,EPSG:4326,Histriophoca fasciata,urn:lsid:marinespecies.org:taxname:255017,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,10000,0.0,0.0,first of 5 records for this hour.,"London, Josh; Koslovsky, Stacie; Cameron, Michael; Boveng, Peter; Ziel, Heather. (2025). Ribbon seal (Histriophoca fasciata) location data from a satellite telemetry tag (ptt id 137494) deployed in the Bering Sea from 2014-04-26 to 2014-04-26, deployment id 535b7f8de36c4f5e17acc135. [Dataset]. US Integrated Ocean Observing System (IOOS) Animal Telemetry Network (ATN).",This is a representative occurrence from a full deployment. For the complete dataset please see https://doi.org/10.25921/wp4e-ph20.
atn_137494_ribbon-seal_trajectory_20140426-20140426,ioos_atn_137494_2014-04-27T14:31:07Z_0.0_ribbon_seal,present,MachineObservation,255017_ribbon_seal,2014-04-27T14:31:07Z,61.1814,-177.471,EPSG:4326,Histriophoca fasciata,urn:lsid:marinespecies.org:taxname:255017,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,1500,0.0,0.0,first of 2 records for this hour.,"London, Josh; Koslovsky, Stacie; Cameron, Michael; Boveng, Peter; Ziel, Heather. (2025). Ribbon seal (Histriophoca fasciata) location data from a satellite telemetry tag (ptt id 137494) deployed in the Bering Sea from 2014-04-26 to 2014-04-26, deployment id 535b7f8de36c4f5e17acc135. [Dataset]. US Integrated Ocean Observing System (IOOS) Animal Telemetry Network (ATN).",This is a representative occurrence from a full deployment. For the complete dataset please see https://doi.org/10.25921/wp4e-ph20.
atn_137494_ribbon-seal_trajectory_20140426-20140426,ioos_atn_137494_2014-04-27T15:30:50Z_0.0_ribbon_seal,present,MachineObservation,255017_ribbon_seal,2014-04-27T15:30:50Z,61.1712,-177.4029,EPSG:4326,Histriophoca fasciata,urn:lsid:marinespecies.org:taxname:255017,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,500,0.0,0.0,first of 2 records for this hour.,"London, Josh; Koslovsky, Stacie; Cameron, Michael; Boveng, Peter; Ziel, Heather. (2025). Ribbon seal (Histriophoca fasciata) location data from a satellite telemetry tag (ptt id 137494) deployed in the Bering Sea from 2014-04-26 to 2014-04-26, deployment id 535b7f8de36c4f5e17acc135. [Dataset]. US Integrated Ocean Observing System (IOOS) Animal Telemetry Network (ATN).",This is a representative occurrence from a full deployment. For the complete dataset please see https://doi.org/10.25921/wp4e-ph20.
