eventID,occurrenceID,occurrenceStatus,basisOfRecord,organismID,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificNameID,samplingProtocol,kingdom,taxonRank,lifeStage,sex,associatedReferences,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,dataGeneralizations,bibliographicCitation,occurrenceRemarks
ioos_atn_137491,ioos_atn_137491_2018-04-18T04:45:00Z_0.0_spotted_seal,present,HumanObservation,255021_spotted_seal,2018-04-18T04:45:00Z,63.6222,-165.0651,EPSG:4326,Phoca largha,urn:lsid:marinespecies.org:taxname:255021,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,0,0.0,0.0,,"London, Josh; Koslovsky, Stacie; Cameron, Michael; Boveng, Peter; Ziel, Heather. (2025). Spotted seal (Phoca largha) location data from a satellite telemetry tag (ptt id 137491) deployed in the Bering Sea from 2018-04-18 to 2018-05-26, deployment id 5ad6ce42efec72080c898c77. [Dataset]. US Integrated Ocean Observing System (IOOS) Animal Telemetry Network (ATN).",This is a representative occurrence from a full deployment. For the complete dataset please see https://doi.org/10.25921/wp4e-ph20.
ioos_atn_137491,ioos_atn_137491_2018-04-18T06:09:20Z_0.0_spotted_seal,present,MachineObservation,255021_spotted_seal,2018-04-18T06:09:20Z,63.6399,-165.0595,EPSG:4326,Phoca largha,urn:lsid:marinespecies.org:taxname:255021,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,1500,0.0,0.0,first of 3 records for this hour.,"London, Josh; Koslovsky, Stacie; Cameron, Michael; Boveng, Peter; Ziel, Heather. (2025). Spotted seal (Phoca largha) location data from a satellite telemetry tag (ptt id 137491) deployed in the Bering Sea from 2018-04-18 to 2018-05-26, deployment id 5ad6ce42efec72080c898c77. [Dataset]. US Integrated Ocean Observing System (IOOS) Animal Telemetry Network (ATN).",This is a representative occurrence from a full deployment. For the complete dataset please see https://doi.org/10.25921/wp4e-ph20.
ioos_atn_137491,ioos_atn_137491_2018-04-29T07:05:19Z_0.0_spotted_seal,present,MachineObservation,255021_spotted_seal,2018-04-29T07:05:19Z,60.0415,-164.4277,EPSG:4326,Phoca largha,urn:lsid:marinespecies.org:taxname:255021,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,1500,0.0,0.0,first of 4 records for this hour.,"London, Josh; Koslovsky, Stacie; Cameron, Michael; Boveng, Peter; Ziel, Heather. (2025). Spotted seal (Phoca largha) location data from a satellite telemetry tag (ptt id 137491) deployed in the Bering Sea from 2018-04-18 to 2018-05-26, deployment id 5ad6ce42efec72080c898c77. [Dataset]. US Integrated Ocean Observing System (IOOS) Animal Telemetry Network (ATN).",This is a representative occurrence from a full deployment. For the complete dataset please see https://doi.org/10.25921/wp4e-ph20.
ioos_atn_137491,ioos_atn_137491_2018-05-13T20:07:00Z_0.0_spotted_seal,present,MachineObservation,255021_spotted_seal,2018-05-13T20:07:00Z,63.365,-164.0013,EPSG:4326,Phoca largha,urn:lsid:marinespecies.org:taxname:255021,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,10000,0.0,0.0,first of 3 records for this hour.,"London, Josh; Koslovsky, Stacie; Cameron, Michael; Boveng, Peter; Ziel, Heather. (2025). Spotted seal (Phoca largha) location data from a satellite telemetry tag (ptt id 137491) deployed in the Bering Sea from 2018-04-18 to 2018-05-26, deployment id 5ad6ce42efec72080c898c77. [Dataset]. US Integrated Ocean Observing System (IOOS) Animal Telemetry Network (ATN).",This is a representative occurrence from a full deployment. For the complete dataset please see https://doi.org/10.25921/wp4e-ph20.
ioos_atn_137491,ioos_atn_137491_2018-05-20T19:26:36Z_0.0_spotted_seal,present,MachineObservation,255021_spotted_seal,2018-05-20T19:26:36Z,64.6676,-161.5203,EPSG:4326,Phoca largha,urn:lsid:marinespecies.org:taxname:255021,satellite telemetry,Animalia,Species,adult,female,https://doi.org/10.25921/wp4e-ph20,10000,0.0,0.0,,"London, Josh; Koslovsky, Stacie; Cameron, Michael; Boveng, Peter; Ziel, Heather. (2025). Spotted seal (Phoca largha) location data from a satellite telemetry tag (ptt id 137491) deployed in the Bering Sea from 2018-04-18 to 2018-05-26, deployment id 5ad6ce42efec72080c898c77. [Dataset]. US Integrated Ocean Observing System (IOOS) Animal Telemetry Network (ATN).",This is a representative occurrence from a full deployment. For the complete dataset please see https://doi.org/10.25921/wp4e-ph20.
