ScientificName,CommonName,Genus,Species,Family,Order,Class,Phylum,Kingdom,AphiaID,TSN,Authority,DiscoveryYear,taxonomicStatus,AcceptedName,AcceptedID
Mussa angulosa,Spiny flower coral,Mussa,angulosa,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,216135,53474,Pallas,1766,accepted,Mussa angulosa,216135
Mycetophyllia aliciae,Knobby cactus coral,Mycetophyllia,aliciae,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,290424,53482,Wells,1973,accepted,Mycetophyllia aliciae,290424
Mycetophyllia danaana,Lowridge cactus coral ,Mycetophyllia,danaana,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,290425,53480,Milne Edwards & Haime,1849,accepted,Mycetophyllia danaana,290425
Mycetophyllia ferox,Rough cactus coral ,Mycetophyllia,ferox,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,290426,53481,Wells,1973,accepted,Mycetophyllia ferox,290426
Mycetophyllia lamarckiana,Ridged cactus coral ,Mycetophyllia,lamarckiana,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,290427,53479,Milne Edwards & Haime,1848,accepted,Mycetophyllia lamarckiana,290427
Mycetophyllia lamarckiana complex,Ridged cactus coral ,Mycetophyllia,,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,267606,,Milne Edwards & Haime,1848,accepted,Mycetophyllia lamarckiana complex,267606
Oculina diffusa,Ivory bush coral,Oculina,diffusa,Oculinidae,Scleractinia,Anthozoa,Cnidaria,Animalia,287097,53395,Lamarck,1816,accepted,Oculina diffusa,287097
Oculina robusta,Robust ivory tree coral,Oculina,robusta,Oculinidae,Scleractinia,Anthozoa,Cnidaria,Animalia,287099,53396,Pourtales,1871,accepted,Oculina robusta,287099
Orbicella annularis complex,Caribbean star coral ,Orbicella,,Merulinidae,Scleractinia,Anthozoa,Cnidaria,Animalia,758259,,Dana,1846,accepted,Orbicella annularis complex,758259
Porites astreoides,Yellow porites,Porites,astreoides,Poritidae,Scleractinia,Anthozoa,Cnidaria,Animalia,288889,53184,Lamarck,1816,accepted,Porites astreoides,288889
Porites branneri,Blue crust coral ,Porites,branneri,Poritidae,Scleractinia,Anthozoa,Cnidaria,Animalia,288892,53186,Rathbun,1888,accepted,Porites branneri,288892
Porites porites,Clubtip finger coral,Porites,porites,Poritidae,Scleractinia,Anthozoa,Cnidaria,Animalia,207238,53180,Pallas,1766,accepted,Porites porites,207238
Porites porites complex,Hump coral,Porites,,Poritidae,Scleractinia,Anthozoa,Cnidaria,Animalia,206485,,Link,1807,accepted,Porites porites complex,206485
Phyllangia americana,Hidden cup coral,Phyllangia, americana,Caryophylliidae,Scleractinia,Anthozoa,Cnidaria,Animalia,346430,53378,Milne Edwards and Haime,1849,accepted,Phyllangia americana,346430
Pseudodiploria clivosa,Knobby brain coral,Pseudodiploria,clivosa,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,828326,,Ellis & Solander,1786,accepted,Pseudodiploria clivosa,828326
Pseudodiploria strigosa,Symmetrical brain coral,Pseudodiploria, strigosa,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,718718,,Dana,1846,accepted,Pseudodiploria strigosa,718718
Scleractinia,Stony coral,,,,Scleractinia,Anthozoa,Cnidaria,Animalia,1363,52839,Bourne,1900,accepted,Scleractinia,1363
Scolymia cubensis,Artichoke coral,Scolymia,cubensis,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,287852,53486,Milne Edwards & Haime,1848,accepted,Scolymia cubensis,287852
Scolymia lacera,Atlantic mushroom coral,Scolymia, lacera,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,287853,53485,Pallas,1766,accepted,Scolymia lacera,287853
Scolymia sp_,Scoly coral,Scolymia,,Mussidae,Scleractinia,Anthozoa,Cnidaria,Animalia,204384,,Haime,1852,accepted,Scolymia,204384
Siderastrea radians,Lesser starlet coral,Siderastrea,radians,Siderastreidae,Scleractinia,Anthozoa,Cnidaria,Animalia,207517,53091,Pallas,1766,accepted,Siderastrea radians,207517
Siderastrea siderea,Massive starlet coral,Siderastrea,siderea,Siderastreidae,Scleractinia,Anthozoa,Cnidaria,Animalia,207516,53090,Ellis & Solander,1768,accepted,Siderastrea siderea,207516
Solenastrea bournoni,Smooth star coral,Solenastrea,bournoni,Scleractinia incertae sedis,Scleractinia,Anthozoa,Cnidaria,Animalia,291054,53253,Milne Edwards & Haime,1849,accepted,Solenastrea bournoni,291054
Solenastrea hyades,Knobby star coral,Solenastrea,hyades,Scleractinia incertae sedis,Scleractinia,Anthozoa,Cnidaria,Animalia,291055,53252,Dana,1846,accepted,Solenastrea hyades,291055
Stephanocoenia intersepta,Blushing star coral,Stephanocoenia,intersepta,Astrocoeniidae,Scleractinia,Anthozoa,Cnidaria,Animalia,291119,52844,Lamarck,1836,accepted,Stephanocoenia intersepta,291119
Stephanocoenia michelinii,Blushing star coral,Stephanocoenia,michelini,Astrocoeniidae,Scleractinia,Anthozoa,Cnidaria,Animalia,292151,52842,Milne Edwards & Haime,1848,unaccepted,Stephanocoenia intersepta,291119
