occurrenceid	basisofrecord	scientificname	scientificnameid	eventdate	decimallatitude	decimallongitude	occurrencestatus	countrycode	kingdom	geodeticdatum	value	value	?column?	datasetname	idenitifedby
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:14:34:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T14:34:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:15:04:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T15:04:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:15:24:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T15:24:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:16:14:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T16:14:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:16:24:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T16:24:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:16:34:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T16:34:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:16:54:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T16:54:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:17:04:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T17:04:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_04APR2014:21:14:59.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-04T21:14:59Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:16:44:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T16:44:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
