occurrenceID,occurrenceStatus,basisOfRecord,organismID,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificNameID,eventID,samplingProtocol,kingdom,taxonRank,lifeStage,sex,associatedReferences,coordinateUncertaintyInMeters,dataGeneralizations
ioos_atn_38553_2011-06-20T03:16:21Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-20T03:16:21Z,66.58,-162.881,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-20T03:16:21Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,
ioos_atn_38553_2011-06-20T04:53:44Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-20T04:53:44Z,66.537,-162.937,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-20T04:53:44Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-20T05:04:36Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-20T05:04:36Z,66.559,-162.825,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-20T05:04:36Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-20T06:38:36Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-20T06:38:36Z,66.548,-162.824,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-20T06:38:36Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,500,first of 2 records.
ioos_atn_38553_2011-06-21T00:19:43Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-21T00:19:43Z,66.631,-162.981,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-21T00:19:43Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-21T01:19:38Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-21T01:19:38Z,66.639,-162.983,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-21T01:19:38Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 3 records.
ioos_atn_38553_2011-06-21T03:01:07Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-21T03:01:07Z,66.632,-162.998,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-21T03:01:07Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 3 records.
ioos_atn_38553_2011-06-21T04:47:17Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-21T04:47:17Z,66.583,-162.947,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-21T04:47:17Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,500,first of 3 records.
ioos_atn_38553_2011-06-21T06:27:31Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-21T06:27:31Z,66.561,-162.848,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-21T06:27:31Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 3 records.
ioos_atn_38553_2011-06-22T00:02:33Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-22T00:02:33Z,66.603,-162.942,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-22T00:02:33Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-22T01:03:38Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-22T01:03:38Z,66.61,-162.94,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-22T01:03:38Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 3 records.
ioos_atn_38553_2011-06-22T02:17:13Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-22T02:17:13Z,66.597,-163.0,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-22T02:17:13Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 4 records.
ioos_atn_38553_2011-06-22T04:10:21Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-22T04:10:21Z,66.593,-162.873,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-22T04:10:21Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-22T05:52:14Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-22T05:52:14Z,66.527,-162.829,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-22T05:52:14Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-22T06:06:27Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-22T06:06:27Z,66.528,-162.779,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-22T06:06:27Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 2 records.
ioos_atn_38553_2011-06-22T07:45:44Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-22T07:45:44Z,66.505,-162.656,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-22T07:45:44Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,
ioos_atn_38553_2011-06-23T01:34:03Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-23T01:34:03Z,66.431,-162.697,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-23T01:34:03Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 2 records.
ioos_atn_38553_2011-06-23T03:33:52Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-23T03:33:52Z,66.457,-162.769,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-23T03:33:52Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
