seine_id,survey_id,lat,long,set_time,so_total,pi_total,cu_total,co_total,he_total,ck_total
DE214N1,DE214,50,-125,2015-06-22 12:27:00 PDT,100,7,300,0,4,NA
DE216N1,DE216,NA,NA,2015-06-23 07:14:00 PDT,0,NA,NA,NA,NA,NA
DE217N1,DE217,NA,NA,NA,0,NA,NA,NA,NA,NA
DE217N2,DE217,50.10264,-125.27585,2015-06-23 08:32:00 PDT,6,10,2000,0,5,NA
DE218N1,DE218,50.44045,-125.27069,2015-06-24 07:05:00 PDT,7,0,40,1,1,NA
DE219N1,DE219,50.34969,-125.44451,2015-06-24 08:58:00 PDT,9,300,500,0,0,NA
DE220N1,DE220,50.30698,-125.3259,2015-06-24 11:07:00 PDT,240,0,5,1,0,NA
DE221N1,DE221,50.30702,-125.33509,2015-06-27 09:22:00 PDT,20,20,30,0,0,NA
DE224N1,DE224,NA,NA,2015-06-29 06:48:00 PDT,0,NA,NA,NA,NA,NA
DE225N1,DE225,50.34844,-125.44666,2015-06-29 08:17:00 PDT,50,0,200,0,0,NA
DE226N1,DE226,NA,NA,NA,0,NA,NA,NA,NA,NA
DE226N2,DE226,50.30764,-125.33348,2015-06-29 10:52:00 PDT,8,2,80,0,0,NA
DE231N1,DE231,NA,NA,NA,0,NA,NA,NA,NA,NA
DE231N2,DE231,50.30377,-125.33768,2015-07-02 09:47:00 PDT,60,8,200,0,20,NA
DE234N1,DE234,50.34874,-125.44617,2015-07-05 13:30:00 PDT,1,20,100,0,0,NA
DE236N1,DE236,50.30641,-125.31584,2015-07-06 06:56:00 PDT,4,0,50,0,7,NA
DE237N1,DE237,50.34825,-125.44895,2015-07-06 08:43:00 PDT,23,100,400,0,0,NA
DE238N1,DE238,50.34797,-125.45584,2015-07-07 11:46:00 PDT,18,50,500,0,0,NA
DE239N1,DE239,NA,NA,NA,0,NA,NA,NA,NA,NA
DE239N2,DE239,50.3079,-125.32955,2015-07-07 14:13:00 PDT,5,100,100,0,3,NA
DE240N1,DE240,50.30717,-125.33303,2015-07-14 06:50:00 PDT,200,1,10,0,0,NA
DE241N1,DE241,50.34811,-125.454,2015-07-14 09:33:00 PDT,5,200,300,0,1,NA
DE245N2,DE245,50.318037,-125.049415,2016-05-09 07:40:00 PDT,0,0,0,0,0,NA
DE245N1,DE245,50.318037,-125.049415,2016-05-09 07:25:00 PDT,0,0,0,0,0,NA
DE255N2,DE255,50.023957,-124.914675,2016-05-13 08:03:00 PDT,400,20,20,0,9,NA
DE255N1,DE255,50.023957,-124.914675,2016-05-13 07:28:00 PDT,0,0,0,0,0,NA
DE258N1,DE258,49.9865,-125.162953,2016-05-13 14:00:00 PDT,60,3,1,2,0,NA
DE259N1,DE259,50.237386,-125.12002,2016-05-14 06:25:00 PDT,200,1,1,0,11,NA
DE260N1,DE260,50.32113,-125.040588,2016-05-14 10:35:00 PDT,2,3,0,1,9,NA
DE261N1,DE261,50.19304,-125.136573,2016-05-14 13:01:00 PDT,100,2,3,1,16,NA
DE262N1,DE262,50.287179,-125.33416,2016-05-15 07:40:00 PDT,0,0,1,2,0,NA
DE263N1,DE263,50.243454,-125.398108,2016-05-15 09:50:00 PDT,700,20,30,2,30,NA
DE264N2,DE264,50.208559,-125.355064,2016-05-15 14:20:00 PDT,2,9,9,1,0,NA
DE264N1,DE264,50.208559,-125.355064,2016-05-15 13:40:00 PDT,1000,0,0,0,0,NA
DE267N1,DE267,50.393263,-125.373514,2016-05-16 09:50:00 PDT,500,0,6,1,9,NA
DE269N2,DE269,50.020465,-124.917743,2016-05-18 06:58:00 PDT,200,3,10,0,0,NA
DE269N1,DE269,50.020465,-124.917743,2016-05-18 06:20:00 PDT,2,0,50,0,0,NA
