survey_id,survey_date
DE394,2017-06-27
DE406,2017-06-27
DE374,2017-06-28
DE457,2017-06-29
DE458,2017-06-29
DE459,2017-06-29
DE460,2017-06-29
DE461,2017-06-30
DE462,2017-06-30
DE463,2017-06-30
DE464,2017-06-30
DE379,2017-07-04
DE375,2017-07-04
DE380,2017-07-05
DE395,2017-07-06
DE397,2017-07-06
DE399,2017-07-06
DE381,2017-07-10
DE455A,2017-07-12
DE455B,2017-07-13
JE100,2015-05-20
JE101,2015-05-20
JE102,2015-05-21
JE103,2015-05-21
JE104,2015-05-22
JE105,2015-05-22
JE106,2015-05-22
JE107,2015-05-23
JE108,2015-05-23
JE109,2015-05-23
JE110,2015-05-24
JE111,2015-05-24
JE112,2015-05-24
JE113,2015-05-25
JE114,2015-05-25
JE115,2015-05-25
JE116,2015-05-26
JE117,2015-05-26
JE118,2015-05-26
JE119,2015-05-27
JE120,2015-05-27
JE121,2015-05-27
JE122,2015-05-27
JE123,2015-05-28
JE124,2015-05-28
JE125,2015-05-28
JE126,2015-05-29
JE127,2015-05-29
JE128,2015-05-30
JE129,2015-05-30
JE130,2015-05-30
JE131,2015-05-30
JE132,2015-05-31
JE133,2015-05-31
JE134,2015-05-31
JE135,2015-05-31
JE136,2015-06-01
JE137,2015-06-01
JE138,2015-06-01
JE139,2015-06-02
JE140,2015-06-02
JE141,2015-06-02
JE142,2015-06-03
JE143,2015-06-03
JE144,2015-06-03
JE145,2015-06-03
JE146,2015-06-04
JE147,2015-06-04
JE148,2015-06-04
JE149,2015-06-05
JE150,2015-06-05
JE151,2015-06-06
JE152,2015-06-06
JE153,2015-06-06
JE154,2015-06-07
JE155,2015-06-07
JE156,2015-06-07
JE157,2015-06-07
JE158,2015-06-07
JE159,2015-06-07
JE160,2015-06-08
JE161,2015-06-08
JE162,2015-06-08
JE163,2015-06-09
JE164,2015-06-09
JE165,2015-06-11
JE166,2015-06-11
JE167,2015-06-11
JE168,2015-06-12
JE169,2015-06-13
JE170,2015-06-13
JE171,2015-06-13
JE172,2015-06-14
JE173,2015-06-14
JE174,2015-06-14
JE175,2015-06-15
JE176,2015-06-15
JE177,2015-06-15
JE178,2015-06-15
JE179,2015-06-16
JE180,2015-06-16
JE181,2015-06-16
JE182,2015-06-17
JE183,2015-06-17
JE184,2015-06-17
JE185,2015-06-18
JE186,2015-06-18
JE187,2015-06-18
JE188,2015-06-18
JE189,2015-06-19
JE190,2015-06-19
JE191,2015-06-19
JE192,2015-06-20
JE193,2015-06-20
JE194,2015-06-20
JE195,2015-06-20
JE196,2015-06-21
JE197,2015-06-21
JE198,2015-06-21
JE199,2015-06-23
JE200,2015-06-23
JE201,2015-06-23
JE202,2015-06-23
JE203,2015-06-24
JE204,2015-06-24
JE205,2015-06-24
JE206,2015-06-24
JE207,2015-06-27
JE208,2015-06-27
JE209,2015-06-27
JE210,2015-06-28
JE211,2015-06-28
JE212,2015-06-29
JE213,2015-06-29
JE214,2015-06-29
JE215,2015-06-29
JE216,2015-07-01
JE217,2015-07-01
JE218,2015-07-01
JE219,2015-07-02
JE220,2015-07-02
JE221,2015-07-07
JE222,2015-07-07
JE223,2015-07-07
JE224,2015-07-07
JE225,2015-07-07
JE226,2015-07-10
JE227,2015-07-10
JE228,2015-07-10
JE229,2015-07-10
JE230,2016-05-20
JE231,2016-05-20
JE232,2016-05-20
JE233,2016-05-21
JE234,2016-05-21
JE235,2016-05-21
JE236,2016-05-21
JE237,2016-05-22
JE238,2016-05-22
JE239,2016-05-22
JE240,2016-05-22
JE241,2016-05-22
JE242,2016-05-26
JE243,2016-05-26
JE244,2016-05-26
JE245,2016-05-27
JE246,2016-05-27
JE247,2016-05-27
JE248,2016-05-27
JE249,2016-05-27
JE250,2016-05-28
JE251,2016-05-28
JE252,2016-06-01
JE253,2016-06-01
JE254,2016-06-02
JE255,2016-06-02
JE256,2016-06-02
JE257,2016-06-03
JE258,2016-06-03
JE259,2016-06-04
JE260,2016-06-04
JE261,2016-06-04
JE262,2016-06-09
JE263,2016-06-09
JE264,2016-06-09
JE265,2016-06-10
JE266,2016-06-10
JE267,2016-06-10
JE268,2016-06-10
JE269,2016-06-11
JE270,2016-06-11
JE271,2016-06-11
JE272,2016-06-17
JE273,2016-06-17
JE274,2016-06-18
JE275,2016-06-18
JE276,2016-06-18
JE277,2016-06-19
JE278,2016-06-19
JE281,2016-06-19
JE282,2016-06-19
JE283,2016-06-20
JE284,2016-06-23
JE285,2016-06-23
JE286,2016-06-23
JE287,2016-06-24
JE288,2016-06-24
JE289,2016-06-24
JE290,2016-06-24
JE291,2016-06-25
JE292,2016-06-25
JE293,2016-06-25
JE294,2016-07-04
JE295,2016-07-04
JE296,2016-07-04
JE297,2016-07-04
JE298,2016-07-04
JE299,2016-07-05
JE300,2016-07-05
JE301,2016-07-05
JE302,2016-07-05
JE303,2016-07-06
JE324,2017-05-26
JE325,2017-05-26
JE326,2017-05-26
JE327,2017-05-26
JE328,2017-06-02
JE329,2017-06-02
JE330,2017-06-02
JE331,2017-06-03
JE332,2017-06-03
JE333,2017-06-03
JE304,2017-06-06
JE305,2017-06-06
JE334,2017-06-07
JE335,2017-06-07
JE336,2017-06-07
JE306,2017-06-13
JE307,2017-06-14
JE337,2017-06-20
JE308,2017-06-20
JE309,2017-06-21
JE310,2017-06-27
JE311,2017-06-28
JE314,2017-07-06
JE312,2017-07-07
JE313,2017-07-07
JE316,2017-07-12
JE338,2017-07-12
JE363,2017-07-12
JE315,2017-07-12
JE340,2017-07-12
JE341,2017-07-12
DE500,2018-05-01
DE501,2018-05-09
DE502,2018-05-10
DE503,2018-05-10
DE504,2018-05-11
DE505,2018-05-11
DE506,2018-05-14
DE507,2018-05-14
DE508,2018-05-15
DE509,2018-05-15
DE510,2018-05-15
JE409,2018-05-16
JE410,2018-05-16
JE411,2018-05-17
JE412,2018-05-17
JE413,2018-05-17
DE511,2018-05-17
DE516,2018-05-17
JE401,2018-05-21
JE402,2018-05-21
JE403,2018-05-22
JE404,2018-05-22
JE405,2018-05-22
DE517,2018-05-22
DE515,2018-05-23
DE531,2018-05-23
DE518,2018-05-24
DE512,2018-05-24
DE513,2018-05-28
DE519,2018-05-29
JE406,2018-05-30
JE407,2018-05-30
JE408,2018-05-30
JE416,2018-05-30
DE514,2018-05-30
JE417,2018-05-31
JE418,2018-06-03
DE520,2018-06-04
DE521,2018-06-05
JE414,2018-06-07
DE522,2018-06-07
DE523,2018-06-11
JE415,2018-06-12
DE524,2018-06-12
DE525,2018-06-12
DE526,2018-06-13
JE419,2018-06-14
DE527,2018-06-18
DE528,2018-06-18
DE529,2018-06-19
DE530,2018-06-19
JE420,2018-06-20
DE532,2018-06-20
JE421,2018-06-21
JE422,2018-06-23
DE533,2018-06-25
DE534,2018-06-26
DE535,2018-06-27
DE536,2018-06-27
JE423,2018-06-28
JE424,2018-06-29
JE425,2018-06-29
DE537,2018-07-03
JE426,2018-07-03
DE538,2018-07-04
JE427,2018-07-04
DE539,2018-07-05
JE428,2018-07-09
JE429,2018-07-09
DE540,2018-07-17
DE541,2018-08-01
DE546,2018-08-08
DE542,2018-08-15
DE543,2018-08-22
DE601,2019-05-10
DE602,2019-05-13
DE603,2019-05-14
DE604,2019-05-14
DE605,2019-05-15
DE606,2019-05-15
JE501,2019-05-17
JE502,2019-05-17
JE503,2019-05-20
JE504,2019-05-20
DE607,2019-05-21
DE608,2019-05-22
DE609,2019-05-23
JE505,2019-05-23
DE610,2019-05-25
DE611,2019-05-25
JE506,2019-05-26
DE612,2019-05-26
DE613,2019-05-26
DE615,2019-05-27
DE616,2019-05-27
DE614,2019-05-28
JE507,2019-05-29
JE508,2019-05-29
DE617,2019-05-29
JE509,2019-05-30
DE618,2019-05-30
DE619,2019-05-30
JE510,2019-05-31
DE620,2019-06-01
DE621,2019-06-02
DE622,2019-06-03
DE623,2019-06-03
DE624,2019-06-04
DE625,2019-06-04
DE626,2019-06-05
JE511,2019-06-05
JE512,2019-06-05
JE513,2019-06-05
JE514,2019-06-06
JE515,2019-06-06
DE627,2019-06-06
JE516,2019-06-09
JE517,2019-06-10
DE628,2019-06-10
JE518,2019-06-11
DE629,2019-06-11
DE630,2019-06-11
DE631,2019-06-12
JE519,2019-06-16
DE632,2019-06-17
DE633,2019-06-18
DE634,2019-06-20
DE635,2019-06-20
JE520,2019-06-23
JE521,2019-06-23
DE636,2019-06-24
DE637,2019-06-24
JE522,2019-06-24
DE638,2019-06-25
DE639,2019-06-25
DE640,2019-06-26
DE641,2019-06-26
JE523,2019-06-28
JE524,2019-06-28
JE525,2019-06-29
DE642,2019-07-02
DE643,2019-07-03
DE644,2019-07-03
JE526,2019-07-04
DE645,2019-07-04
DE646,2019-07-04
JE527,2019-07-06
DE647,2019-07-08
DE648,2019-07-09
DE649,2019-07-09
JE528,2019-07-09
JE529,2019-07-11
DE650,2019-07-11
DE651,2019-07-11
DE652,2019-07-22
